what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501493175492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1501493199453
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1501493209886
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1501493210188
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1501493218945
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501493228020
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501493233396
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1501493244120
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1501493247907
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1501493255641
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1501493257607
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1501493257949
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1501493260849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501493266688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501493367284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501493372071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501493645898
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1501493653215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501493657311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501493658158
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1501493661601
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501493672975
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501493675062
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1501493681534
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1501493681894
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1501493683458
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501493711992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501493712073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501493712943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501493713706
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.maximizePart",1501493714956
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1501493716878
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1501493717019
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1501493723160
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1501493724207
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1501493725442
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.maximizePart",1501493727036
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1501493729521
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1501493733412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501493766230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501493768527
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501493769856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501493780092
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501493781030
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501493784921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501493785328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501493859278
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1501493860809
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1501493861122
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1501493861825
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501493864685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501493889563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501493890059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501495990401
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501496050155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501496053738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501496054132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501502762449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501502763781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501502768638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501502790406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501502791174
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501502791814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501502793189
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1501502795433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1501502804582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501502815320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501502842164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501503027838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501503063581
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.maximizePart",1501503065537
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1501503072975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501503077281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501503088570
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1501503088947
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1501503089005
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.maximizePart",1501503090937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501503133599
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501503455814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501503456235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501503465436
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1501503473494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501503480461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501503482117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1501503492469
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1501503494941
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1501503502194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501503520910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501503522205
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1501503524546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501503525576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501503531662
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1501503534839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501503543678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501503545350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1501503547751
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1501503550901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501503552705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501503553395
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1501503556521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501503557455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1501503558039
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.copyLineDown",1501503568272
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.copyLineUp",1501503573979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1501503586909
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1501503594253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1501503614865
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1501503621886
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1501503622218
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1501503628055
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.moveLineUp",1501503640178
