what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1499959031581
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1499959031581
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1499959031582
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1499959031583
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1499959031589
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1499959031590
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1499959031591
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1499959031592
os,sysinfo,,,"win32",1499959031594
arch,sysinfo,,,"x86_64",1499959031594
ws,sysinfo,,,"win32",1499959031594
locale,sysinfo,,,"zh_CN",1499959031594
processors,sysinfo,,,"4",1499959031594
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1499959031594
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1499959031594
java.specification.name,sysinfo,,,"Java Platform API Specification",1499959031594
java.specification.vendor,sysinfo,,,"Oracle Corporation",1499959031594
java.specification.version,sysinfo,,,"1.7",1499959031594
java.vendor,sysinfo,,,"Oracle Corporation",1499959031594
java.version,sysinfo,,,"1.7.0_79",1499959031594
java.vm.info,sysinfo,,,"mixed mode",1499959031594
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1499959031594
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1499959031594
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1499959031594
java.vm.specification.version,sysinfo,,,"1.7",1499959031594
java.vm.vendor,sysinfo,,,"Oracle Corporation",1499959031594
java.vm.version,sysinfo,,,"24.79-b02",1499959031594
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1499959031793
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1499959032287
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1499959032289
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1499959032300
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1499959032301
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1499959032328
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1499959032336
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1499959032394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499959033968
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1499959035414
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1499959035423
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1499959035545
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1499959035556
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1499959035569
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1499959035578
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1499959035579
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1499959035601
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1499959035608
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1499959035623
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1499959035642
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1499959035653
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1499959035668
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1499959035720
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1499959035727
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1499959035756
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1499959035770
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1499959035839
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1499959035911
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1499959035936
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1499959036144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499959036192
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1499959036202
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1499959036202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499959039650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499959047698
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.file.newQuickMenu",1499959053262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499959056384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499959063191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499959067251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1499959069058
