what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1500268225828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1500268229081
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1500268252752
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1500268267115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500268285336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500268285965
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1500268309522
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1500268312882
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1500268323302
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1500268324071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1500268332767
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1500268348625
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1500268358111
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1500268369072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1500268371945
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1500268380190
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1500268382204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500268383891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500268384397
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1500268389394
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1500268390038
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1500268390948
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1500268393056
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1500268395515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500268411834
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500269219110
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.maximizePart",1500269226164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500269242697
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500269245269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500269247453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500269356197
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1500269361082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500269366813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500269367414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500269371333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500269372692
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1500269378385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500269381907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500269443220
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1500269500043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500269505868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500269506331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500269568526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500269645437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500269646946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500269649353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500269652760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500269663223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1500269668330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500269676906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500280936950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500280979266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1500280987715
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1500280987839
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500280987841
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1500280987983
